NAME,URL,CLASS
【缺课】小K先生电商C4D建模渲染2021年11月结课【画质高清有素材】,https://chenwenb.com/xiaokxsc4d.html,C4D课程
潘呀潘潘摄影教程2020【画质不错只有视频】,https://chenwenb.com/panyapp.html,视频课程
【缺课】画画的春哥人物速写2022年：风格化角色创作实战【画质高清】,https://chenwenb.com/cgrwxsfghjscz.html,手绘课程
与好莱坞动画大师一起学动画规律2022年4月【画质还行有课件】,https://chenwenb.com/dhdsyqxdhgl.html,视频课程
雪花更美UE4集群阵列2020年【画质高清】,https://chenwenb.com/xhgmue4.html,视频课程
【缺课】生动表演大剖析AE角色动画特训营2021【画质不错有素材】,https://chenwenb.com/sdbydpxae.html,AE课程
高级动画全流程案例教学之绑定篇【画质高清有素材】,https://chenwenb.com/lmyxalbdp.html,3dmax课程
古月次世代游戏道具制作【画质不错】,https://chenwenb.com/gycsdyxdjzz.html,zbrush课程
高级动画全流程案例教学之模型贴图篇【画质高清有素材】,https://chenwenb.com/lmyxmxttp.html,zbrush课程
蓝枫平面游戏视觉2021年PS教程【画质高清有素材】,https://chenwenb.com/lfpmyxsj2021.html,平面设计
佳儿水彩团练第三期2022年【画质不错有笔刷】,https://chenwenb.com/jiasctl3.html,手绘课程
阿花水彩风男生头像ipad插画课2022年1月【画质不错有笔刷】,https://chenwenb.com/ahscfnstx.html,手绘课程
Justill2021年AI商业插画实战训练营基础篇【画质高清有部分素材】,https://chenwenb.com/justillaisych.html,ai课程
niaoniao第十九期C4D+OC渲染课2022年4月结课【画质高清无素材】,https://chenwenb.com/nianiaooc19.html,C4D课程
创意视觉设计师培养计划万晨曦卢帅曹凡2021年【画质高清有部分素材】,https://chenwenb.com/cysjsjspyjh.html,平面设计
黑豹角色综合教学课程【画质高清有素材】,https://chenwenb.com/heibaojszhjx.html,zbrush课程
unity超写实游戏特效表现课程【画质高清有素材】,https://chenwenb.com/unitycxstxbx.html,视频课程
【缺课】小木C4D电商产品教程【画质不错有素材】,https://chenwenb.com/xiaomuc4d.html,电商设计
